group_id,t0,file_t0,t3,file_t3,t10,file_t10,t13,file_t13
54,2025-08-01 18:00:09,NHB250801180009.RAWLU7R,2025-08-01 18:03:03,NHB250801180303.RAWLU7V,2025-08-01 18:10:08,NHB250801181008.RAWLU7Y,2025-08-01 18:13:03,NHB250801181303.RAWLU82
55,2025-08-01 18:20:07,NHB250801182007.RAWLU85,2025-08-01 18:23:03,NHB250801182303.RAWLU89,2025-08-01 18:30:08,NHB250801183008.RAWLU8C,2025-08-01 18:33:03,NHB250801183303.RAWLU8G
56,2025-08-01 18:40:08,NHB250801184008.RAWLU8K,2025-08-01 18:43:04,NHB250801184304.RAWLU8P,2025-08-01 18:50:08,NHB250801185008.RAWLU8T,2025-08-01 18:53:04,NHB250801185304.RAWLU8X
57,2025-08-01 19:00:08,NHB250801190008.RAWLU90,2025-08-01 19:03:04,NHB250801190304.RAWLU94,2025-08-01 19:10:08,NHB250801191008.RAWLU97,2025-08-01 19:13:03,NHB250801191303.RAWLU9B
58,2025-08-01 19:20:08,NHB250801192008.RAWLU9E,2025-08-01 19:23:03,NHB250801192303.RAWLU9J,2025-08-01 19:30:07,NHB250801193007.RAWLU9M,2025-08-01 19:33:03,NHB250801193303.RAWLU9S
59,2025-08-01 19:40:07,NHB250801194007.RAWLU9V,2025-08-01 19:43:04,NHB250801194304.RAWLU9Z,2025-08-01 19:50:08,NHB250801195008.RAWLUA2,2025-08-01 19:53:05,NHB250801195305.RAWLUA6
60,2025-08-01 20:00:08,NHB250801200008.RAWLUA9,2025-08-01 20:03:03,NHB250801200303.RAWLUAD,2025-08-01 20:10:08,NHB250801201008.RAWLUAG,2025-08-01 20:13:04,NHB250801201304.RAWLUAL
61,2025-08-01 20:20:08,NHB250801202008.RAWLUAP,2025-08-01 20:23:03,NHB250801202303.RAWLUAU,2025-08-01 20:30:08,NHB250801203008.RAWLUAX,2025-08-01 20:33:03,NHB250801203303.RAWLUB1
62,2025-08-01 20:40:08,NHB250801204008.RAWLUB4,2025-08-01 20:43:04,NHB250801204304.RAWLUB8,2025-08-01 20:50:07,NHB250801205007.RAWLUBB,2025-08-01 20:53:04,NHB250801205304.RAWLUBF
63,2025-08-01 21:00:07,NHB250801210007.RAWLUBJ,2025-08-01 21:03:03,NHB250801210303.RAWLUBN,2025-08-01 21:10:08,NHB250801211008.RAWLUBS,2025-08-01 21:13:03,NHB250801211303.RAWLUBW
64,2025-08-01 21:20:07,NHB250801212007.RAWLUBZ,2025-08-01 21:23:03,NHB250801212303.RAWLUC3,2025-08-01 21:30:08,NHB250801213008.RAWLUC6,2025-08-01 21:33:04,NHB250801213304.RAWLUCA
65,2025-08-01 21:40:08,NHB250801214008.RAWLUCD,2025-08-01 21:43:03,NHB250801214303.RAWLUCH,2025-08-01 21:50:08,NHB250801215008.RAWLUCL,2025-08-01 21:53:03,NHB250801215303.RAWLUCR
66,2025-08-01 22:00:07,NHB250801220007.RAWLUCU,2025-08-01 22:03:04,NHB250801220304.RAWLUCY,2025-08-01 22:10:08,NHB250801221008.RAWLUD1,2025-08-01 22:13:04,NHB250801221304.RAWLUD5
67,2025-08-01 22:20:08,NHB250801222008.RAWLUD8,2025-08-01 22:23:04,NHB250801222304.RAWLUDC,2025-08-01 22:30:07,NHB250801223007.RAWLUDF,2025-08-01 22:33:04,NHB250801223304.RAWLUDK
68,2025-08-01 22:40:08,NHB250801224008.RAWLUDN,2025-08-01 22:43:03,NHB250801224303.RAWLUDT,2025-08-01 22:50:07,NHB250801225007.RAWLUDW,2025-08-01 22:53:04,NHB250801225304.RAWLUE0
69,2025-08-01 23:00:07,NHB250801230007.RAWLUE3,2025-08-01 23:03:03,NHB250801230303.RAWLUE7,2025-08-01 23:10:07,NHB250801231007.RAWLUEA,2025-08-01 23:13:04,NHB250801231304.RAWLUEE
70,2025-08-01 23:20:08,NHB250801232008.RAWLUEH,2025-08-01 23:23:03,NHB250801232303.RAWLUEM,2025-08-01 23:30:08,NHB250801233008.RAWLUER,2025-08-01 23:33:05,NHB250801233305.RAWLUEV
71,2025-08-01 23:40:07,NHB250801234007.RAWLUEY,2025-08-01 23:43:04,NHB250801234304.RAWLUF2,2025-08-01 23:50:08,NHB250801235008.RAWLUF5,2025-08-01 23:53:03,NHB250801235303.RAWLUF9
