timestamp,day,filename,relative_path,mode,scan_type,sweeps,rays,gates,gate_spacing_m,max_range_km,reflectivity_shape
2025-08-01 10:03:04,1,NHB250801100304.RAWLTXN,01\NHB250801100304.RAWLTXN,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 10:10:08,1,NHB250801101008.RAWLTXS,01\NHB250801101008.RAWLTXS,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 10:13:04,1,NHB250801101304.RAWLTXW,01\NHB250801101304.RAWLTXW,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 10:20:08,1,NHB250801102008.RAWLTXZ,01\NHB250801102008.RAWLTXZ,Long Range,ppi,4,1387,500,600.0,299.3999938964844,"(1387, 500)"
2025-08-01 10:23:03,1,NHB250801102303.RAWLTY3,01\NHB250801102303.RAWLTY3,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 10:30:08,1,NHB250801103008.RAWLTY6,01\NHB250801103008.RAWLTY6,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 10:33:05,1,NHB250801103305.RAWLTYA,01\NHB250801103305.RAWLTYA,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 10:40:08,1,NHB250801104008.RAWLTYD,01\NHB250801104008.RAWLTYD,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 10:43:03,1,NHB250801104303.RAWLTYH,01\NHB250801104303.RAWLTYH,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 10:50:07,1,NHB250801105007.RAWLTYL,01\NHB250801105007.RAWLTYL,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 10:53:04,1,NHB250801105304.RAWLTYR,01\NHB250801105304.RAWLTYR,Short Range,ppi,8,2829,500,240.0,119.76000213623047,"(2829, 500)"
2025-08-01 11:00:08,1,NHB250801110008.RAWLTYU,01\NHB250801110008.RAWLTYU,Long Range,ppi,4,1388,500,600.0,299.3999938964844,"(1388, 500)"
2025-08-01 11:03:04,1,NHB250801110304.RAWLTYY,01\NHB250801110304.RAWLTYY,Short Range,ppi,8,2833,500,240.0,119.76000213623047,"(2833, 500)"
2025-08-01 11:10:07,1,NHB250801111007.RAWLTZ1,01\NHB250801111007.RAWLTZ1,Long Range,ppi,4,1395,500,600.0,299.3999938964844,"(1395, 500)"
2025-08-01 11:13:05,1,NHB250801111305.RAWLTZ5,01\NHB250801111305.RAWLTZ5,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 11:20:08,1,NHB250801112008.RAWLTZ8,01\NHB250801112008.RAWLTZ8,Long Range,ppi,4,1387,500,600.0,299.3999938964844,"(1387, 500)"
2025-08-01 11:23:03,1,NHB250801112303.RAWLTZC,01\NHB250801112303.RAWLTZC,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 11:30:08,1,NHB250801113008.RAWLTZF,01\NHB250801113008.RAWLTZF,Long Range,ppi,4,1389,500,600.0,299.3999938964844,"(1389, 500)"
2025-08-01 11:33:03,1,NHB250801113303.RAWLTZK,01\NHB250801113303.RAWLTZK,Short Range,ppi,8,2828,500,240.0,119.76000213623047,"(2828, 500)"
2025-08-01 11:40:09,1,NHB250801114009.RAWLTZN,01\NHB250801114009.RAWLTZN,Long Range,ppi,4,1386,500,600.0,299.3999938964844,"(1386, 500)"
