timestamp,filename,mode,sweeps,rays,gates,gate_spacing_m,max_range_km
2025-08-01 15:40:08,NHB250801154008.RAWLU4S,Long Range,4,1387,500,600.0,299.4
2025-08-01 15:43:03,NHB250801154303.RAWLU4W,Short Range,8,2829,500,240.0,119.76
2025-08-01 15:50:07,NHB250801155007.RAWLU4Z,Long Range,4,1385,500,600.0,299.4
2025-08-01 15:53:05,NHB250801155305.RAWLU53,Short Range,8,2828,500,240.0,119.76
2025-08-01 16:00:08,NHB250801160008.RAWLU56,Long Range,4,1389,500,600.0,299.4
2025-08-01 16:03:04,NHB250801160304.RAWLU5A,Short Range,8,2829,500,240.0,119.76
2025-08-01 16:10:08,NHB250801161008.RAWLU5D,Long Range,4,1388,500,600.0,299.4
2025-08-01 16:13:03,NHB250801161303.RAWLU5H,Short Range,8,2829,500,240.0,119.76
2025-08-01 16:20:07,NHB250801162007.RAWLU5L,Long Range,4,1389,500,600.0,299.4
2025-08-01 16:23:03,NHB250801162303.RAWLU5R,Short Range,8,2834,500,240.0,119.76
2025-08-01 16:30:07,NHB250801163007.RAWLU5U,Long Range,4,1396,500,600.0,299.4
2025-08-01 16:33:05,NHB250801163305.RAWLU5Y,Short Range,8,2826,500,240.0,119.76
2025-08-01 16:40:08,NHB250801164008.RAWLU61,Long Range,4,1388,500,600.0,299.4
2025-08-01 16:43:03,NHB250801164303.RAWLU65,Short Range,8,2828,500,240.0,119.76
2025-08-01 16:50:09,NHB250801165009.RAWLU68,Long Range,4,1389,500,600.0,299.4
2025-08-01 16:53:03,NHB250801165303.RAWLU6C,Short Range,8,2828,500,240.0,119.76
2025-08-01 17:00:08,NHB250801170008.RAWLU6F,Long Range,4,1388,500,600.0,299.4
2025-08-01 17:03:04,NHB250801170304.RAWLU6K,Short Range,8,2829,500,240.0,119.76
2025-08-01 17:10:08,NHB250801171008.RAWLU6N,Long Range,4,1388,500,600.0,299.4
2025-08-01 17:13:03,NHB250801171303.RAWLU6T,Short Range,8,2829,500,240.0,119.76
2025-08-01 17:20:08,NHB250801172008.RAWLU6W,Long Range,4,1389,500,600.0,299.4
2025-08-01 17:23:03,NHB250801172303.RAWLU70,Short Range,8,2829,500,240.0,119.76
2025-08-01 17:30:07,NHB250801173007.RAWLU73,Long Range,4,1388,500,600.0,299.4
2025-08-01 17:33:03,NHB250801173303.RAWLU77,Short Range,8,2828,500,240.0,119.76
2025-08-01 17:40:07,NHB250801174007.RAWLU7A,Long Range,4,1389,500,600.0,299.4
2025-08-01 17:43:03,NHB250801174303.RAWLU7E,Short Range,8,2830,500,240.0,119.76
2025-08-01 17:50:08,NHB250801175008.RAWLU7H,Long Range,4,1389,500,600.0,299.4
2025-08-01 17:53:04,NHB250801175304.RAWLU7M,Short Range,8,2828,500,240.0,119.76
2025-08-01 18:00:09,NHB250801180009.RAWLU7R,Long Range,4,1389,500,600.0,299.4
2025-08-01 18:03:03,NHB250801180303.RAWLU7V,Short Range,8,2829,500,240.0,119.76
2025-08-01 18:10:08,NHB250801181008.RAWLU7Y,Long Range,4,1389,500,600.0,299.4
2025-08-01 18:13:03,NHB250801181303.RAWLU82,Short Range,8,2835,500,240.0,119.76
2025-08-01 18:20:07,NHB250801182007.RAWLU85,Long Range,4,1388,500,600.0,299.4
2025-08-01 18:23:03,NHB250801182303.RAWLU89,Short Range,8,2828,500,240.0,119.76
2025-08-01 18:30:08,NHB250801183008.RAWLU8C,Long Range,4,1387,500,600.0,299.4
2025-08-01 18:33:03,NHB250801183303.RAWLU8G,Short Range,8,2829,500,240.0,119.76
2025-08-01 18:40:08,NHB250801184008.RAWLU8K,Long Range,4,1389,500,600.0,299.4
2025-08-01 18:43:04,NHB250801184304.RAWLU8P,Short Range,8,2829,500,240.0,119.76
2025-08-01 18:50:08,NHB250801185008.RAWLU8T,Long Range,4,1393,500,600.0,299.4
2025-08-01 18:53:04,NHB250801185304.RAWLU8X,Short Range,8,2829,500,240.0,119.76
2025-08-01 19:00:08,NHB250801190008.RAWLU90,Long Range,4,1389,500,600.0,299.4
2025-08-01 19:03:04,NHB250801190304.RAWLU94,Short Range,8,2827,500,240.0,119.76
2025-08-01 19:10:08,NHB250801191008.RAWLU97,Long Range,4,1389,500,600.0,299.4
2025-08-01 19:13:03,NHB250801191303.RAWLU9B,Short Range,8,2829,500,240.0,119.76
2025-08-01 19:20:08,NHB250801192008.RAWLU9E,Long Range,4,1388,500,600.0,299.4
2025-08-01 19:23:03,NHB250801192303.RAWLU9J,Short Range,8,2827,500,240.0,119.76
2025-08-01 19:30:07,NHB250801193007.RAWLU9M,Long Range,4,1388,500,600.0,299.4
2025-08-01 19:33:03,NHB250801193303.RAWLU9S,Short Range,8,2834,500,240.0,119.76
2025-08-01 19:40:07,NHB250801194007.RAWLU9V,Long Range,4,1389,500,600.0,299.4
2025-08-01 19:43:04,NHB250801194304.RAWLU9Z,Short Range,8,2829,500,240.0,119.76
2025-08-01 19:50:08,NHB250801195008.RAWLUA2,Long Range,4,1389,500,600.0,299.4
2025-08-01 19:53:05,NHB250801195305.RAWLUA6,Short Range,8,2829,500,240.0,119.76
2025-08-01 20:00:08,NHB250801200008.RAWLUA9,Long Range,4,1388,500,600.0,299.4
2025-08-01 20:03:03,NHB250801200303.RAWLUAD,Short Range,8,2833,500,240.0,119.76
2025-08-01 20:10:08,NHB250801201008.RAWLUAG,Long Range,4,1394,500,600.0,299.4
2025-08-01 20:13:04,NHB250801201304.RAWLUAL,Short Range,8,2829,500,240.0,119.76
2025-08-01 20:20:08,NHB250801202008.RAWLUAP,Long Range,4,1388,500,600.0,299.4
2025-08-01 20:23:03,NHB250801202303.RAWLUAU,Short Range,8,2829,500,240.0,119.76
2025-08-01 20:30:08,NHB250801203008.RAWLUAX,Long Range,4,1389,500,600.0,299.4
2025-08-01 20:33:03,NHB250801203303.RAWLUB1,Short Range,8,2828,500,240.0,119.76
2025-08-01 20:40:08,NHB250801204008.RAWLUB4,Long Range,4,1389,500,600.0,299.4
2025-08-01 20:43:04,NHB250801204304.RAWLUB8,Short Range,8,2828,500,240.0,119.76
2025-08-01 20:50:07,NHB250801205007.RAWLUBB,Long Range,4,1387,500,600.0,299.4
2025-08-01 20:53:04,NHB250801205304.RAWLUBF,Short Range,8,2829,500,240.0,119.76
2025-08-01 21:00:07,NHB250801210007.RAWLUBJ,Long Range,4,1389,500,600.0,299.4
2025-08-01 21:03:03,NHB250801210303.RAWLUBN,Short Range,8,2829,500,240.0,119.76
2025-08-01 21:10:08,NHB250801211008.RAWLUBS,Long Range,4,1388,500,600.0,299.4
2025-08-01 21:13:03,NHB250801211303.RAWLUBW,Short Range,8,2829,500,240.0,119.76
2025-08-01 21:20:07,NHB250801212007.RAWLUBZ,Long Range,4,1388,500,600.0,299.4
2025-08-01 21:23:03,NHB250801212303.RAWLUC3,Short Range,8,2829,500,240.0,119.76
2025-08-01 21:30:08,NHB250801213008.RAWLUC6,Long Range,4,1391,500,600.0,299.4
2025-08-01 21:33:04,NHB250801213304.RAWLUCA,Short Range,8,2829,500,240.0,119.76
2025-08-01 21:40:08,NHB250801214008.RAWLUCD,Long Range,4,1389,500,600.0,299.4
2025-08-01 21:43:03,NHB250801214303.RAWLUCH,Short Range,8,2828,500,240.0,119.76
2025-08-01 21:50:08,NHB250801215008.RAWLUCL,Long Range,4,1388,500,600.0,299.4
2025-08-01 21:53:03,NHB250801215303.RAWLUCR,Short Range,8,2828,500,240.0,119.76
2025-08-01 22:00:07,NHB250801220007.RAWLUCU,Long Range,4,1389,500,600.0,299.4
2025-08-01 22:03:04,NHB250801220304.RAWLUCY,Short Range,8,2829,500,240.0,119.76
2025-08-01 22:10:08,NHB250801221008.RAWLUD1,Long Range,4,1389,500,600.0,299.4
2025-08-01 22:13:04,NHB250801221304.RAWLUD5,Short Range,8,2828,500,240.0,119.76
2025-08-01 22:20:08,NHB250801222008.RAWLUD8,Long Range,4,1391,500,600.0,299.4
2025-08-01 22:23:04,NHB250801222304.RAWLUDC,Short Range,8,2829,500,240.0,119.76
2025-08-01 22:30:07,NHB250801223007.RAWLUDF,Long Range,4,1387,500,600.0,299.4
2025-08-01 22:33:04,NHB250801223304.RAWLUDK,Short Range,8,2828,500,240.0,119.76
2025-08-01 22:40:08,NHB250801224008.RAWLUDN,Long Range,4,1389,500,600.0,299.4
2025-08-01 22:43:03,NHB250801224303.RAWLUDT,Short Range,8,2833,500,240.0,119.76
2025-08-01 22:50:07,NHB250801225007.RAWLUDW,Long Range,4,1394,500,600.0,299.4
2025-08-01 22:53:04,NHB250801225304.RAWLUE0,Short Range,8,2829,500,240.0,119.76
2025-08-01 23:00:07,NHB250801230007.RAWLUE3,Long Range,4,1389,500,600.0,299.4
